,a01,stime_h_xxb,stime_m_xxb,xxb_mid,xxb_01,xxb_02,xxb_03,xxb_04,xxb_05,xxb_06,xxb_07,xxb_08,xxb_09,xxb_10,xxb_11,xxb_12,xxb_13,xxb_14,xxb_15a,xxb_15b,xxb_15c,xxb_16,xxb_17a,xxb_17b,xxb_17c,xxb_18a,xxb_18b,xxb_18c,etime_h_xxb,etime_m_xxb,flag,hhid2,hh_type,round
25,21.0,8.0,59.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,59.0,,21,BIHS and additional hhs for FTF,Round 3 (2018-19)
26,22.0,15.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,,22,BIHS and additional hhs for FTF,Round 3 (2018-19)
27,23.0,8.0,28.0,6,20.0,12.0,HSC/Alim,HSC/Alim,Completed class IV,Completed class IV,17.0,SSC/ Dakhil,Completed class VI,Yes,Service (private sector ),Yes,4.0,1.0,0.0,500000.0,50000.0,500001.0,0.0,40000.0,30000.0,Thought the groom was very good and they might not get such,,,8.0,36.0,,23,BIHS and additional hhs for FTF,Round 3 (2018-19)
28,24.0,8.0,27.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,28.0,,24,BIHS and additional hhs for FTF,Round 3 (2018-19)
29,26.0,8.0,42.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,44.0,,26,BIHS and additional hhs for FTF,Round 3 (2018-19)
30,27.0,9.0,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,18.0,,27,BIHS and additional hhs for FTF,Round 3 (2018-19)
31,28.0,8.0,52.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,53.0,,28,BIHS and additional hhs for FTF,Round 3 (2018-19)
32,29.0,8.0,57.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,59.0,,29,BIHS and additional hhs for FTF,Round 3 (2018-19)
33,30.1,8.0,44.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,48.0,,30.1,BIHS and additional hhs for FTF,Round 3 (2018-19)
34,30.2,8.0,38.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,39.0,,30.2,BIHS and additional hhs for FTF,Round 3 (2018-19)
35,31.0,8.0,39.0,4,16.0,12.0,Completed class VI,Completed class VI,Completed class V,Completed class V,14.0,Completed class V,Never attended school,Yes,Service (private sector ),Yes,0.0,0.0,30000.0,0.0,400.0,50000.0,0.0,15000.0,10000.0,Thought the groom was very good and they might not get such,,,8.0,48.0,,31,BIHS and additional hhs for FTF,Round 3 (2018-19)
36,32.0,8.0,50.0,4,21.0,12.0,Completed class V,Completed class V,SSC/ Dakhil,SSC/ Dakhil,18.0,Never attended school,Never attended school,No,,Yes,3.0,2.0,0.0,0.0,0.0,100001.0,0.0,700.0,5000.0,Not applicable; she was married after turning 18,,,9.0,10.0,,32,BIHS and additional hhs for FTF,Round 3 (2018-19)
37,33.0,8.0,44.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,47.0,,33,BIHS and additional hhs for FTF,Round 3 (2018-19)
38,34.0,8.0,42.0,2,25.0,13.0,Completed class IX,Completed class IX,HSC/Alim,HSC/Alim,16.0,Completed class VII,Completed class II,No,,No,3.0,1.0,0.0,50000.0,15000.0,10000.0,0.0,30000.0,8000.0,Out of fear of harassment by boys/men,,,8.0,56.0,,34,BIHS and additional hhs for FTF,Round 3 (2018-19)
39,35.0,13.0,41.0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,40.0,,35,BIHS and additional hhs for FTF,Round 3 (2018-19)
40,36.0,16.0,42.0,6,21.0,13.0,Completed class V,Completed class V,Completed class IV,Completed class IV,16.0,Completed class IV,Completed class IV,Yes,Working own farm (crop),Yes,1.0,1.0,0.0,0.0,5000.0,20000.0,0.0,80000.0,2500.0,The girl herself wanted to marry,,,16.0,52.0,,36,BIHS and additional hhs for FTF,Round 3 (2018-19)
41,37.0,10.0,37.0,0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,37.0,,37,BIHS and additional hhs for FTF,Round 3 (2018-19)
42,38.1,9.0,20.0,4,24.0,12.0,Completed class VIII,Completed class VIII,SSC/ Dakhil,SSC/ Dakhil,15.0,Never attended school,Completed class VII,Yes,Working own farm (crop),Yes,1.0,1.0,0.0,0.0,3000.0,100001.0,100001.0,0.0,0.0,The girl herself wanted to marry,,,9.0,26.0,,38.1,BIHS and additional hhs for FTF,Round 3 (2018-19)
43,38.2,18.0,6.0,6,20.0,14.0,Completed class IV,Completed class IV,Completed class VI,Completed class VI,16.0,Completed class II,Completed class IV,Yes,Driver of motor vehicle,Yes,1.0,4.0,30000.0,13000.0,30000.0,100000.0,0.0,0.0,5000.0,The girl herself wanted to marry,,,18.0,11.0,,38.2,BIHS and additional hhs for FTF,Round 3 (2018-19)
44,39.0,8.0,57.0,2,26.0,13.0,Completed class VIII,Completed class VIII,Completed class V,Completed class V,16.0,Completed class III,Completed class IV,Yes,Working own farm (crop),Yes,2.0,1.0,0.0,12000.0,48500.0,50000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,,,9.0,5.0,,39,BIHS and additional hhs for FTF,Round 3 (2018-19)
45,40.0,13.0,37.0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,42.0,,40,BIHS and additional hhs for FTF,Round 3 (2018-19)
46,41.0,9.0,17.0,2,25.0,12.0,Completed class V,Completed class V,Completed class VIII,Completed class VIII,15.0,Completed class IX,Completed class V,Yes,Medium trader (shop or small store),Yes,5.0,1.0,0.0,0.0,5000.0,Not applicable,Not applicable,Not applicable,Not applicable,Pressure from relatives,Thought the groom was very good and they might not get such,,9.0,24.0,,41,BIHS and additional hhs for FTF,Round 3 (2018-19)
47,42.0,9.0,25.0,5,23.0,14.0,Completed class VI,Completed class VI,Completed class V,Completed class V,15.0,Never attended school,Completed class IV,Yes,Working own farm (crop),Yes,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,1500.0,15000.0,Marriage proposals were coming for her,Thought the groom was very good and they might not get such,,9.0,31.0,,42,BIHS and additional hhs for FTF,Round 3 (2018-19)
48,43.0,10.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,43,BIHS and additional hhs for FTF,Round 3 (2018-19)
49,44.0,9.0,13.0,3,30.0,13.0,MA/MSC and above Kamil,MA/MSC and above Kamil,MA/MSC and above Kamil,MA/MSC and above Kamil,23.0,SSC/ Dakhil,Completed class IX,Yes,Medium trader (shop or small store),Yes,1.0,0.0,0.0,0.0,0.0,100000.0,0.0,50000.0,20000.0,Not applicable; she was married after turning 18,,,9.0,17.0,,44,BIHS and additional hhs for FTF,Round 3 (2018-19)
50,45.0,9.0,26.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,45,BIHS and additional hhs for FTF,Round 3 (2018-19)
51,46.0,9.0,29.0,7,22.0,13.0,Completed class V,Completed class V,Completed class V,Completed class V,18.0,Never attended school,Completed class III,Yes,Working own farm (crop),No,2.0,5.0,0.0,0.0,0.0,150000.0,0.0,10000.0,10000.0,Marriage proposals were coming for her,,,9.0,42.0,,46,BIHS and additional hhs for FTF,Round 3 (2018-19)
52,47.0,9.0,10.0,5,21.0,13.0,SSC/ Dakhil,Completed class V,SSC/ Dakhil,Completed class V,18.0,Completed class V,Completed class IX,Yes,Working own farm (crop),Yes,2.0,4.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,9.0,18.0,,47,BIHS and additional hhs for FTF,Round 3 (2018-19)
53,48.0,9.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,48,BIHS and additional hhs for FTF,Round 3 (2018-19)
54,49.0,9.0,31.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,49,BIHS and additional hhs for FTF,Round 3 (2018-19)
55,50.0,10.0,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,50,BIHS and additional hhs for FTF,Round 3 (2018-19)
56,51.0,10.0,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,51,BIHS and additional hhs for FTF,Round 3 (2018-19)
57,52.0,9.0,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,52,BIHS and additional hhs for FTF,Round 3 (2018-19)
58,53.0,9.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,53,BIHS and additional hhs for FTF,Round 3 (2018-19)
59,54.0,9.0,19.0,4,23.0,14.0,BA/BSC Honours/Fazil,BA/BSC Honours/Fazil,HSC/Alim,HSC/Alim,20.0,HSC/Alim,Completed class VIII,Yes,Retired,Yes,0.0,2.0,0.0,13000.0,5000.0,100000.0,0.0,50000.0,30000.0,Not applicable; she was married after turning 18,,,9.0,25.0,,54,BIHS and additional hhs for FTF,Round 3 (2018-19)
60,56.0,10.0,21.0,8,30.0,14.0,Completed class VII,Completed class VII,Completed class IX,Completed class IX,21.0,Completed class I,Completed class V,Yes,Working own farm (crop),Yes,3.0,2.0,0.0,17000.0,5000.0,100000.0,0.0,13000.0,3500.0,Not applicable; she was married after turning 18,,,10.0,27.0,,56,BIHS and additional hhs for FTF,Round 3 (2018-19)
61,58.0,9.0,42.0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,58,BIHS and additional hhs for FTF,Round 3 (2018-19)
62,60.0,9.0,18.0,4,21.0,13.0,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,18.0,Completed class VII,Completed class V,Yes,Working own farm (crop),Yes,0.0,3.0,0.0,700.0,0.0,300000.0,0.0,7000.0,5000.0,Not applicable; she was married after turning 18,,,9.0,22.0,,60,BIHS and additional hhs for FTF,Round 3 (2018-19)
63,61.0,9.0,39.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,40.0,,61,BIHS households,Round 3 (2018-19)
64,63.0,15.0,5.0,2,31.0,12.0,Completed class VIII,Completed class VIII,Completed class II,Completed class II,17.0,Completed class II,Never attended school,Yes,Factory worker,Yes,0.0,3.0,0.0,0.0,0.0,50000.0,0.0,600.0,1000.0,Thought the groom was very good and they might not get such,,,15.0,9.0,,63,BIHS households,Round 3 (2018-19)
65,66.0,9.0,5.0,8,25.0,13.0,Completed class V,Completed class V,Completed class VI,Completed class VI,19.0,Completed class II,Completed class III,Yes,Working own farm (crop),No,1.0,2.0,0.0,30000.0,0.0,100000.0,0.0,25000.0,2000.0,Thought the groom was very good and they might not get such,,,9.0,9.0,,66,BIHS households,Round 3 (2018-19)
66,67.0,8.0,31.0,4,28.0,12.0,HSC/Alim,HSC/Alim,SSC/ Dakhil,SSC/ Dakhil,21.0,Never attended school,Completed class IV,Yes,Other wage labor (specify),Yes,1.0,1.0,0.0,0.0,0.0,500000.0,0.0,200000.0,2000.0,Not applicable; she was married after turning 18,,,8.0,36.0,,67,BIHS households,Round 3 (2018-19)
67,68.0,9.0,20.0,4,27.0,13.0,Completed class VII,Completed class VII,Completed class IX,Completed class IX,15.0,Completed class VII,Completed class IX,Yes,Fisherman (using non owned/not leased water body),Yes,1.0,0.0,0.0,0.0,100000.0,100000.0,0.0,100000.0,50000.0,Thought the groom was very good and they might not get such,,,9.0,29.0,,68,BIHS households,Round 3 (2018-19)
68,68.0,,,6,25.0,12.0,SSC/ Dakhil,SSC/ Dakhil,HSC/Alim,HSC/Alim,21.0,Completed class V,Completed class V,No,,Yes,3.0,0.0,0.0,0.0,0.0,200000.0,0.0,600.0,1500.0,Not applicable; she was married after turning 18,,,,,,68,BIHS households,Round 3 (2018-19)
69,69.1,16.0,25.0,0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,27.0,,69.1,BIHS households,Round 3 (2018-19)
70,69.2,9.0,11.0,4,27.0,13.0,Completed class V,Completed class V,Never attended school,Never attended school,19.0,Completed class IX,Completed class V,Yes,Service (private sector ),Yes,1.0,0.0,20000.0,0.0,8000.0,15000.0,0.0,700.0,2000.0,Not applicable; she was married after turning 18,,,9.0,18.0,,69.2,BIHS households,Round 3 (2018-19)
71,70.0,9.0,31.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,31.0,,70,BIHS households,Round 3 (2018-19)
72,71.0,15.0,25.0,4,22.0,16.0,Completed class V,Completed class V,Completed class V,Completed class V,17.0,Never attended school,Completed class III,Yes,Other wage labor (specify),Yes,0.0,3.0,0.0,0.0,15000.0,45000.0,0.0,12000.0,10000.0,Thought the groom was very good and they might not get such,,,15.0,32.0,,71,BIHS households,Round 3 (2018-19)
73,72.0,9.0,27.0,4,21.0,13.0,SSC/ Dakhil,SSC/ Dakhil,Completed class VII,Completed class VII,19.0,SSC/ Dakhil,Completed class V,Yes,Service (private sector ),Yes,2.0,0.0,0.0,10000.0,5000.0,100000.0,0.0,80000.0,0.0,Not applicable; she was married after turning 18,,,9.0,56.0,,72,BIHS households,Round 3 (2018-19)
74,72.0,,,5,25.0,12.0,Completed class VI,Completed class VI,SSC/ Dakhil,SSC/ Dakhil,12.0,Completed class IX,Completed class IX,Yes,Fisherman (using non owned/not leased water body),Yes,1.0,0.0,0.0,6000.0,0.0,50000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,Marriage proposals were coming for her,,,,,72,BIHS households,Round 3 (2018-19)
75,73.0,10.0,8.0,6,18.0,13.0,Completed class VIII,Completed class VIII,Completed class IV,Completed class IV,17.0,Completed class V,Completed class V,Yes,Rickshaw/van pulling,Yes,3.0,3.0,0.0,15000.0,5000.0,100000.0,0.0,10000.0,15000.0,Thought the groom was very good and they might not get such,,,10.0,23.0,,73,BIHS households,Round 3 (2018-19)
76,74.0,9.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,15.0,,74,BIHS households,Round 3 (2018-19)
77,75.0,9.0,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,75,BIHS households,Round 3 (2018-19)
78,76.0,9.0,16.0,7,18.0,12.0,Completed class VII,Completed class VII,Completed class VI,Completed class VI,13.0,Completed class V,Completed class IX,Yes,Service (private sector ),Yes,3.0,0.0,0.0,1300.0,50000.0,30000.0,0.0,40000.0,1300.0,Thought the groom was very good and they might not get such,,,9.0,22.0,,76,BIHS households,Round 3 (2018-19)
79,78.0,9.0,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,15.0,,78,BIHS households,Round 3 (2018-19)
80,79.0,9.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,,79,BIHS households,Round 3 (2018-19)
81,80.0,9.0,24.0,6,27.0,14.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,16.0,Never attended school,Completed class V,Yes,Homestead farming,Yes,1.0,1.0,0.0,13000.0,20000.0,75000.0,1000.0,20000.0,5000.0,Thought the groom was very good and they might not get such,Marriage proposals were coming for her,,9.0,35.0,,80,BIHS households,Round 3 (2018-19)
82,81.0,8.0,33.0,2,22.0,13.0,Completed class VIII,Completed class VIII,Completed class VI,Completed class VI,17.0,Completed class VIII,Completed class IX,Yes,Physically/mentally challenged,Yes,2.0,2.0,0.0,50000.0,20000.0,Not applicable,Not applicable,Not applicable,Not applicable,"Economic condition was poor to support her (food, education,",,,8.0,40.0,,81,BIHS households,Round 3 (2018-19)
83,82.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,82,BIHS households,Round 3 (2018-19)
84,83.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,83,BIHS households,Round 3 (2018-19)
85,84.0,8.0,36.0,2,25.0,12.0,Never attended school,Never attended school,Completed class VI,Completed class VI,13.0,Never attended school,Never attended school,Yes,Agricultural day labor,No,2.0,2.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,The girl herself wanted to marry,,,8.0,43.0,,84,BIHS households,Round 3 (2018-19)
86,85.0,11.0,3.0,2,26.0,12.0,Completed class VII,Completed class VII,Completed class VI,Completed class VI,17.0,Never attended school,Never attended school,Yes,Share cropper/tenant,Yes,3.0,3.0,20000.0,0.0,6000.0,90000.0,0.0,0.0,15000.0,Marriage proposals were coming for her,,,11.0,7.0,,85,BIHS households,Round 3 (2018-19)
87,86.0,12.0,20.0,2,22.0,12.0,Completed class IX,Completed class IX,Completed class VIII,Completed class VIII,15.0,Never attended school,Completed class V,Yes,Small trader (roadside stand or stall),Yes,4.0,2.0,40000.0,0.0,0.0,80000.0,0.0,0.0,0.0,Marriage proposals were coming for her,,,12.0,25.0,,86,BIHS households,Round 3 (2018-19)
88,86.0,,,6,27.0,12.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,18.0,Completed class V,Completed class V,No,,Yes,5.0,4.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,,,,86,BIHS households,Round 3 (2018-19)
89,87.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,87,BIHS households,Round 3 (2018-19)
90,90.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,90,BIHS households,Round 3 (2018-19)
91,91.0,17.0,0.0,2,20.0,12.0,Never attended school,Never attended school,Never attended school,Never attended school,17.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,2.0,5.0,30000.0,0.0,0.0,200000.0,0.0,0.0,0.0,Marriage proposals were coming for her,,,17.0,7.0,,91,BIHS households,Round 3 (2018-19)
92,92.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,92,BIHS households,Round 3 (2018-19)
93,93.1,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,93.1,BIHS households,Round 3 (2018-19)
94,93.2,8.0,29.0,3,19.0,12.0,Never attended school,Never attended school,Never attended school,Never attended school,16.0,Never attended school,Never attended school,Yes,Carpenter,Yes,0.0,2.0,30000.0,0.0,2000.0,100000.0,0.0,30000.0,10000.0,Marriage proposals were coming for her,Thought the groom was very good and they might not get such,,8.0,35.0,,93.2,BIHS households,Round 3 (2018-19)
95,94.0,8.0,35.0,5,23.0,12.0,Completed class VIII,Completed class VIII,Completed class IX,Completed class IX,19.0,Completed class VII,Completed class V,Yes,Working own farm (crop),No,1.0,4.0,0.0,0.0,0.0,30000.0,0.0,60000.0,20000.0,Not applicable; she was married after turning 18,,,8.0,42.0,,94,BIHS households,Round 3 (2018-19)
96,95.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,95,BIHS households,Round 3 (2018-19)
97,96.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,96,BIHS households,Round 3 (2018-19)
98,97.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,97,BIHS households,Round 3 (2018-19)
99,99.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,99,BIHS households,Round 3 (2018-19)
100,100.1,8.0,40.0,10,20.0,13.0,Completed class VIII,Completed class VIII,Completed class V,Completed class V,16.0,Completed class V,Never attended school,Yes,Working own farm (crop),Yes,2.0,2.0,80000.0,0.0,18500.0,250000.0,0.0,100000.0,20000.0,Pressure from neighbors,"Economic condition was poor to support her (food, education,",,8.0,46.0,,100.1,BIHS households,Round 3 (2018-19)
101,101.0,8.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19.0,,101,BIHS households,Round 3 (2018-19)
102,102.0,8.0,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,,102,BIHS households,Round 3 (2018-19)
103,103.0,7.0,53.0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,54.0,,103,BIHS households,Round 3 (2018-19)
104,104.0,8.0,14.0,2,20.0,14.0,Completed class VII,Completed class VII,SSC/ Dakhil,SSC/ Dakhil,16.0,Completed class II,Completed class IV,Yes,Cobbler,Yes,1.0,1.0,15000.0,45000.0,19500.0,100000.0,25000.0,0.0,0.0,The girl herself wanted to marry,,,8.0,20.0,,104,BIHS households,Round 3 (2018-19)
105,105.0,9.0,18.0,0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,18.0,,105,BIHS households,Round 3 (2018-19)
106,106.0,8.0,26.0,0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,,106,BIHS households,Round 3 (2018-19)
107,107.0,7.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,16.0,,107,BIHS households,Round 3 (2018-19)
108,108.0,8.0,39.0,2,22.0,12.0,Completed class IV,Completed class IV,Never attended school,Never attended school,15.0,Never attended school,Never attended school,Yes,Fisherman (using non owned/not leased water body),Yes,1.0,1.0,10000.0,10000.0,1000.0,50000.0,5000.0,400.0,900.0,Pressure from relatives,Other,,8.0,53.0,,108,BIHS households,Round 3 (2018-19)
109,109.0,7.0,57.0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,57.0,,109,BIHS households,Round 3 (2018-19)
110,110.0,7.0,49.0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,50.0,,110,BIHS households,Round 3 (2018-19)
111,111.0,10.0,11.0,5,20.0,13.0,Completed class VII,Completed class VII,Completed class VII,Completed class VII,17.0,SSC/ Dakhil,Never attended school,Yes,Share cropper/tenant,Yes,1.0,0.0,0.0,28000.0,5000.0,150000.0,0.0,27000.0,15000.0,Marriage proposals were coming for her,,,10.0,20.0,,111,BIHS households,Round 3 (2018-19)
112,112.0,7.0,27.0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,27.0,,112,BIHS households,Round 3 (2018-19)
