,a01,stime_h_xxa,stime_m_xxa,res_id_xxa,consent_xxa,xxa_slno,xxa_pid,xxa_mid,xxa_01,xxa_02,xxa_03,xxa_04,xxa_05,xxa_06,xxa_07,xxa_08,xxa_09,xxa_10,xxa_11,xxa_12,xxa_13,xxa_14,xxa_15a,xxa_15b,xxa_15c,xxa_16,xxa_17a,xxa_17b,xxa_17c,xxa_18a,xxa_18b,xxa_18c,etime_h_xxa,etime_m_xxa,flag,hhid2,hh_type,round
36,32.0,8.0,35.0,2.0,Yes,1,81.0,5.0,20.0,13.0,Completed class V,Completed class V,Completed class V,Completed class V,16.0,Completed class II,Completed class I,Yes,Other wage labor (specify),Yes,1.0,2.0,0.0,10000.0,25000.0,70000.0,0.0,10000.0,8000.0,Thought the groom was very good and they might not get such,Marriage proposals were coming for her,,8.0,48.0,,32,BIHS and additional hhs for FTF,Round 3 (2018-19)
37,33.0,8.0,39.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,42.0,,33,BIHS and additional hhs for FTF,Round 3 (2018-19)
38,34.0,8.0,38.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,39.0,,34,BIHS and additional hhs for FTF,Round 3 (2018-19)
39,35.0,13.0,37.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,40.0,,35,BIHS and additional hhs for FTF,Round 3 (2018-19)
40,36.0,16.0,38.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,40.0,,36,BIHS and additional hhs for FTF,Round 3 (2018-19)
41,37.0,10.0,36.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,36.0,,37,BIHS and additional hhs for FTF,Round 3 (2018-19)
42,38.1,9.0,18.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,18.0,,38.1,BIHS and additional hhs for FTF,Round 3 (2018-19)
43,38.2,18.0,5.0,6.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,5.0,,38.2,BIHS and additional hhs for FTF,Round 3 (2018-19)
44,39.0,8.0,57.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,57.0,,39,BIHS and additional hhs for FTF,Round 3 (2018-19)
45,40.0,13.0,32.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,34.0,,40,BIHS and additional hhs for FTF,Round 3 (2018-19)
46,41.0,9.0,16.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,41,BIHS and additional hhs for FTF,Round 3 (2018-19)
47,42.0,9.0,24.0,5.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,42,BIHS and additional hhs for FTF,Round 3 (2018-19)
48,43.0,10.0,14.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,43,BIHS and additional hhs for FTF,Round 3 (2018-19)
49,44.0,9.0,12.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,44,BIHS and additional hhs for FTF,Round 3 (2018-19)
50,45.0,9.0,25.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,45,BIHS and additional hhs for FTF,Round 3 (2018-19)
51,46.0,9.0,18.0,2.0,Yes,1,81.0,4.0,27.0,13.0,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,17.0,Completed class V,Completed class V,Yes,Working own farm (crop),Yes,2.0,0.0,0.0,0.0,10000.0,100000.0,0.0,10000.0,20000.0,The girl herself wanted to marry,,,9.0,28.0,,46,BIHS and additional hhs for FTF,Round 3 (2018-19)
52,47.0,9.0,5.0,1.0,Yes,1,81.0,4.0,22.0,12.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,18.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,1.0,1.0,0.0,0.0,0.0,50000.0,0.0,0.0,51000.0,Not applicable; she was married after turning 18,,,9.0,10.0,,47,BIHS and additional hhs for FTF,Round 3 (2018-19)
53,47.0,,,1.0,Yes,2,82.0,2.0,26.0,13.0,Completed class VIII,Completed class VIII,Completed class VIII,Completed class VIII,18.0,Never attended school,Never attended school,Yes,Working own farm (crop),Yes,1.0,1.0,0.0,0.0,50000.0,10000.0,0.0,5000.0,0.0,Not applicable; she was married after turning 18,,,,,,47,BIHS and additional hhs for FTF,Round 3 (2018-19)
54,48.0,9.0,12.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,48,BIHS and additional hhs for FTF,Round 3 (2018-19)
55,49.0,9.0,30.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,49,BIHS and additional hhs for FTF,Round 3 (2018-19)
56,50.0,10.0,12.0,1.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,50,BIHS and additional hhs for FTF,Round 3 (2018-19)
57,51.0,10.0,16.0,1.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,51,BIHS and additional hhs for FTF,Round 3 (2018-19)
58,52.0,9.0,10.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,52,BIHS and additional hhs for FTF,Round 3 (2018-19)
59,53.0,9.0,9.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,53,BIHS and additional hhs for FTF,Round 3 (2018-19)
60,54.0,9.0,16.0,2.0,Yes,1,81.0,3.0,30.0,13.0,BA/BSC Pass/Fazil,BA/BSC Pass/Fazil,HSC/Alim,HSC/Alim,22.0,HSC/Alim,Completed class VIII,Yes,Retired,Yes,0.0,2.0,0.0,18000.0,100000.0,100000.0,0.0,60000.0,30000.0,Not applicable; she was married after turning 18,,,9.0,19.0,,54,BIHS and additional hhs for FTF,Round 3 (2018-19)
61,56.0,10.0,8.0,8.0,Yes,1,81.0,3.0,25.0,13.0,Completed class IX,Completed class IX,SSC/ Dakhil,SSC/ Dakhil,20.0,Completed class I,Completed class V,Yes,Working own farm (crop),Yes,3.0,2.0,0.0,6000.0,0.0,Don?t know,0.0,10000.0,Don?t know,Not applicable; she was married after turning 18,,,10.0,21.0,,56,BIHS and additional hhs for FTF,Round 3 (2018-19)
62,56.0,,,8.0,Yes,2,82.0,,24.0,14.0,Completed class V,Completed class V,SSC/ Dakhil,SSC/ Dakhil,21.0,Completed class I,Completed class V,Yes,Working own farm (crop),Yes,3.0,2.0,0.0,0.0,2000.0,100000.0,0.0,1000.0,1500.0,Not applicable; she was married after turning 18,,,,,No memeber id in HH roster(bihs-r-1) but information collect,56,BIHS and additional hhs for FTF,Round 3 (2018-19)
63,58.0,9.0,34.0,2.0,Yes,1,81.0,3.0,29.0,14.0,HSC/Alim,HSC/Alim,BA/BSC Honours/Fazil,BA/BSC Honours/Fazil,19.0,Completed class IV,Completed class V,Yes,Raising livestock,Yes,2.0,2.0,0.0,35000.0,30000.0,150000.0,0.0,25000.0,14000.0,Not applicable; she was married after turning 18,,,9.0,42.0,,58,BIHS and additional hhs for FTF,Round 3 (2018-19)
64,60.0,9.0,13.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,18.0,,60,BIHS and additional hhs for FTF,Round 3 (2018-19)
65,61.0,9.0,39.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,39.0,,61,BIHS households,Round 3 (2018-19)
66,63.0,15.0,2.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,4.0,,63,BIHS households,Round 3 (2018-19)
67,66.0,8.0,58.0,5.0,Yes,1,81.0,3.0,25.0,12.0,HSC/Alim,HSC/Alim,HSC/Alim,HSC/Alim,18.0,Completed class III,Completed class II,Yes,Medium trader (shop or small store),No,2.0,2.0,0.0,12000.0,60000.0,150000.0,0.0,80000.0,20000.0,Not applicable; she was married after turning 18,,,9.0,4.0,,66,BIHS households,Round 3 (2018-19)
68,67.0,8.0,28.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,30.0,,67,BIHS households,Round 3 (2018-19)
69,68.0,9.0,10.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,18.0,,68,BIHS households,Round 3 (2018-19)
70,69.1,16.0,23.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,24.0,,69.1,BIHS households,Round 3 (2018-19)
71,69.2,9.0,9.0,4.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,,69.2,BIHS households,Round 3 (2018-19)
72,70.0,9.0,29.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,30.0,,70,BIHS households,Round 3 (2018-19)
73,71.0,15.0,23.0,4.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,24.0,,71,BIHS households,Round 3 (2018-19)
74,72.0,9.0,25.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,26.0,,72,BIHS households,Round 3 (2018-19)
75,73.0,9.0,51.0,2.0,Yes,1,81.0,4.0,22.0,13.0,Completed class VII,Completed class VII,HSC/Alim,HSC/Alim,14.0,Completed class II,Completed class II,Yes,Other salaried worker(specify),Yes,1.0,1.0,85000.0,20000.0,0.0,100000.0,0.0,15000.0,15000.0,Thought the groom was very good and they might not get such,,,10.0,7.0,,73,BIHS households,Round 3 (2018-19)
76,74.0,8.0,54.0,2.0,Yes,1,81.0,3.0,23.0,12.0,SSC/ Dakhil,SSC/ Dakhil,HSC/Alim,HSC/Alim,17.0,Never attended school,Completed class V,Yes,Share cropper/tenant,Yes,2.0,1.0,0.0,0.0,0.0,50000.0,0.0,20000.0,10000.0,Thought the groom was very good and they might not get such,,,8.0,59.0,,74,BIHS households,Round 3 (2018-19)
77,75.0,9.0,4.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,6.0,,75,BIHS households,Round 3 (2018-19)
78,76.0,9.0,8.0,2.0,Yes,1,81.0,4.0,22.0,12.0,Completed class VIII,Completed class VIII,Completed class V,Completed class V,13.0,Completed class IX,Never attended school,Yes,Medium trader (shop or small store),Yes,3.0,0.0,0.0,20000.0,50000.0,50000.0,0.0,2000.0,12000.0,Thought the groom was very good and they might not get such,,,9.0,15.0,,76,BIHS households,Round 3 (2018-19)
79,78.0,9.0,13.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,78,BIHS households,Round 3 (2018-19)
80,79.0,9.0,4.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,,79,BIHS households,Round 3 (2018-19)
81,80.0,9.0,11.0,2.0,Yes,1,81.0,3.0,25.0,12.0,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,SSC/ Dakhil,18.0,Completed class IV,Completed class VII,Yes,Working own farm (crop),Yes,3.0,0.0,0.0,13000.0,50000.0,200000.0,0.0,130000.0,20000.0,Not applicable; she was married after turning 18,,,9.0,20.0,,80,BIHS households,Round 3 (2018-19)
82,81.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,81,BIHS households,Round 3 (2018-19)
83,82.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,82,BIHS households,Round 3 (2018-19)
84,83.0,8.0,43.0,2.0,Yes,1,81.0,3.0,21.0,13.0,Completed class VIII,Completed class VIII,Completed class IV,Completed class IV,17.0,Completed class IV,Never attended school,Yes,Driver of motor vehicle,Yes,2.0,2.0,15000.0,32000.0,45000.0,500000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,,,8.0,48.0,,83,BIHS households,Round 3 (2018-19)
85,84.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,84,BIHS households,Round 3 (2018-19)
86,85.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,85,BIHS households,Round 3 (2018-19)
87,86.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,86,BIHS households,Round 3 (2018-19)
88,87.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,87,BIHS households,Round 3 (2018-19)
89,90.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,90,BIHS households,Round 3 (2018-19)
90,91.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,91,BIHS households,Round 3 (2018-19)
91,92.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,92,BIHS households,Round 3 (2018-19)
92,93.1,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,93.1,BIHS households,Round 3 (2018-19)
93,93.2,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,93.2,BIHS households,Round 3 (2018-19)
94,94.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,94,BIHS households,Round 3 (2018-19)
95,95.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,95,BIHS households,Round 3 (2018-19)
96,96.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,96,BIHS households,Round 3 (2018-19)
97,97.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,97,BIHS households,Round 3 (2018-19)
98,99.0,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,99,BIHS households,Round 3 (2018-19)
99,100.1,0.0,,,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,100.1,BIHS households,Round 3 (2018-19)
100,101.0,8.0,16.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,17.0,,101,BIHS households,Round 3 (2018-19)
101,102.0,8.0,11.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12.0,,102,BIHS households,Round 3 (2018-19)
102,103.0,7.0,51.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,52.0,,103,BIHS households,Round 3 (2018-19)
103,104.0,8.0,12.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,,104,BIHS households,Round 3 (2018-19)
104,105.0,9.0,17.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,17.0,,105,BIHS households,Round 3 (2018-19)
105,106.0,8.0,19.0,1.0,Yes,1,81.0,2.0,24.0,12.0,Completed class IX,Completed class IX,Completed class IX,Completed class IX,18.0,Never attended school,Completed class I,Yes,Agricultural day labor,Yes,2.0,0.0,0.0,40000.0,8000.0,100000.0,0.0,0.0,0.0,Not applicable; she was married after turning 18,,,8.0,25.0,,106,BIHS households,Round 3 (2018-19)
106,107.0,7.0,1.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,107,BIHS households,Round 3 (2018-19)
107,108.0,8.0,30.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,39.0,,108,BIHS households,Round 3 (2018-19)
108,109.0,7.0,56.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,56.0,,109,BIHS households,Round 3 (2018-19)
109,110.0,7.0,48.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,49.0,,110,BIHS households,Round 3 (2018-19)
110,111.0,10.0,10.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,111,BIHS households,Round 3 (2018-19)
111,112.0,7.0,26.0,1.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,26.0,,112,BIHS households,Round 3 (2018-19)
112,113.0,8.0,19.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19.0,,113,BIHS households,Round 3 (2018-19)
113,114.0,8.0,26.0,1.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,26.0,,114,BIHS households,Round 3 (2018-19)
114,116.0,7.0,48.0,5.0,Yes,1,81.0,6.0,21.0,14.0,HSC/Alim,HSC/Alim,SSC/ Dakhil,SSC/ Dakhil,17.0,Never attended school,Completed class V,Yes,Service (private sector ),Yes,0.0,0.0,0.0,100000.0,70000.0,200000.0,0.0,50000.0,0.0,Out of fear of harassment by boys/men,Pressure from neighbors,,7.0,53.0,,116,BIHS households,Round 3 (2018-19)
115,117.0,8.0,33.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,33.0,,117,BIHS households,Round 3 (2018-19)
116,118.0,8.0,24.0,2.0,Yes,1,81.0,6.0,30.0,13.0,Completed class VI,Completed class VI,Completed class IX,Completed class IX,14.0,Completed class V,Never attended school,Yes,Working own farm (crop),Yes,3.0,1.0,0.0,0.0,0.0,250000.0,Don?t know,Don?t know,Don?t know,Marriage proposals were coming for her,The girl herself wanted to marry,,8.0,24.0,,118,BIHS households,Round 3 (2018-19)
117,120.0,9.0,12.0,2.0,Yes,1,81.0,3.0,22.0,12.0,Completed class VII,Completed class VII,Completed class V,Completed class V,16.0,Completed class I,Completed class IV,Yes,Driver of motor vehicle,Yes,0.0,0.0,0.0,0.0,20000.0,100000.0,0.0,0.0,0.0,Pressure from relatives,Thought the groom was very good and they might not get such,,9.0,18.0,,120,BIHS households,Round 3 (2018-19)
118,121.0,8.0,37.0,3.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,38.0,,121,BIHS and additional hhs for FTF,Round 3 (2018-19)
119,122.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,122,BIHS and additional hhs for FTF,Round 3 (2018-19)
120,123.0,8.0,29.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,35.0,,123,BIHS and additional hhs for FTF,Round 3 (2018-19)
121,124.0,8.0,33.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,34.0,,124,BIHS and additional hhs for FTF,Round 3 (2018-19)
122,126.0,8.0,49.0,1.0,Yes,1,81.0,7.0,20.0,12.0,Completed class VIII,Completed class VIII,Completed class II,Completed class II,18.0,Completed class IV,Completed class II,Yes,Other wage labor (specify),Yes,1.0,0.0,3000.0,0.0,0.0,50000.0,0.0,0.0,0.0,Thought the groom was very good and they might not get such,,,8.0,53.0,,126,BIHS and additional hhs for FTF,Round 3 (2018-19)
123,127.0,8.0,55.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,56.0,,127,BIHS and additional hhs for FTF,Round 3 (2018-19)
124,128.0,8.0,26.0,2.0,Yes,1,81.0,3.0,24.0,13.0,Completed class IX,Completed class IX,Completed class V,Completed class V,16.0,Never attended school,Never attended school,Yes,Small trader (roadside stand or stall),Yes,0.0,2.0,0.0,12000.0,10000.0,200000.0,0.0,0.0,0.0,Pressure from neighbors,"Economic condition was poor to support her (food, education,",,8.0,34.0,,128,BIHS and additional hhs for FTF,Round 3 (2018-19)
125,129.0,8.0,44.0,2.0,Yes,1,81.0,3.0,28.0,12.0,SSC/ Dakhil,SSC/ Dakhil,MA/MSC and above Kamil,MA/MSC and above Kamil,18.0,Completed class VII,Completed class VII,Yes,Small trader (roadside stand or stall),Yes,2.0,0.0,0.0,60000.0,50000.0,250000.0,50000.0,100000.0,70000.0,Not applicable; she was married after turning 18,,,9.0,5.0,,129,BIHS and additional hhs for FTF,Round 3 (2018-19)
126,130.0,8.0,22.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,24.0,,130,BIHS and additional hhs for FTF,Round 3 (2018-19)
127,131.0,9.0,1.0,2.0,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,131,BIHS and additional hhs for FTF,Round 3 (2018-19)
